kind,path,line,column,severity,code,message
scope,scripts/_bootstrap.py,,,,,
scope,scripts/_engineering_health.py,,,,,
scope,scripts/check_static_analysis.py,,,,,
scope,scripts/check_type_analysis.py,,,,,
scope,scripts/check_model_capability_honest_measurement.py,,,,,
scope,scripts/check_artifact_schema_guard.py,,,,,
scope,scripts/check_file_size_ratchet.py,,,,,
scope,scripts/check_aiproj_track_closeout.py,,,,,
scope,src/minigpt/aiproj_track_closeout.py,,,,,
scope,src/minigpt/artifact_schema_guard.py,,,,,
scope,src/minigpt/file_size_ratchet.py,,,,,
scope,src/minigpt/ci_workflow_hygiene.py,,,,,
scope,src/minigpt/ci_workflow_hygiene_checks.py,,,,,
scope,src/minigpt/ci_workflow_hygiene_artifacts.py,,,,,
scope,src/minigpt/ci_workflow_hygiene_policy.py,,,,,
scope,src/minigpt/ci_workflow_hygiene_summary.py,,,,,
scope,src/minigpt/ci_workflow_hygiene_types.py,,,,,
scope,src/minigpt/model_capability_honest_measurement.py,,,,,
scope,src/minigpt/report_utils.py,,,,,
